"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","below_kingdom","below_below_kingdom","below_below_below_kingdom","below_below_below_below_kingdom","below_below_below_below_below_kingdom","subkingdom","phylum","below_phylum","below_below_phylum","subphylum","below_subphylum","below_below_subphylum","below_below_below_subphylum","below_below_below_below_subphylum","below_below_below_below_below_subphylum","below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_subphylum","below_below_below_below_below_below_below_below_subphylum","superclass","class","below_class","below_below_class","below_below_below_class","subclass","infraclass","below_infraclass","below_below_infraclass","below_below_below_infraclass","below_below_below_below_infraclass","superorder","below_superorder","order","below_order","suborder","below_suborder","family","subfamily","genus","subgenus","species","below_species","varietas","below_varietas"
"1489341","32443","below_infraclass","Osteoglossocephalai","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","32443","1489341","","","","","","","","","","","","","","","","",""
"186625","1489341","below_below_infraclass","Clupeocephala","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","32443","1489341","186625","","","","","","","","","","","","","","","",""
"1489388","186625","below_below_below_infraclass","Euteleosteomorpha","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","32443","1489341","186625","1489388","","","","","","","","","","","","","","",""
"41705","1489388","below_below_below_below_infraclass","Protacanthopterygii","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","","","","","7898","186623","","","","41665","32443","1489341","186625","1489388","41705","","","","","","","","","","","","","",""
"314146","1437010","superorder","Euarchontoglires","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","1437010","","","","","","","314146","","","","","","","","","","","","",""
"314145","1437010","superorder","Laurasiatheria","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","1437010","","","","","","","314145","","","","","","","","","","","","",""
"215451","215449","superorder","Octopodiformes","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6447","","","","","","","","","","","","","6605","","","","6606","215449","","","","","215451","","","","","","","","","","","","",""
"116571","116569","superorder","Podoplea","1","131567","2759","33154","33208","6072","33213","33317","1206794","88770","","6656","197563","197562","6657","","","","","","","","","","72037","","","","6830","116569","","","","","116571","","","","","","","","","","","","",""
"91561","314145","below_superorder","Cetartiodactyla","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","1437010","","","","","","","314145","91561","","","","","","","","","","","",""
"314147","314146","below_superorder","Glires","1","131567","2759","33154","33208","6072","33213","33511","","","","7711","","","89593","7742","7776","117570","117571","8287","1338369","32523","32524","","40674","32525","9347","1437010","","","","","","","314146","314147","","","","","","","","","","","",""
"6103","6102","order","Actiniaria","1","131567","2759","33154","33208","6072","","","","","","6073","","","","","","","","","","","","","6101","","","","6102","","","","","","","","6103","","","","","","","","","","",""
"6342","105387","order","Capitellida","1","131567","2759","33154","33208","6072","33213","33317","1206795","","","6340","","","","","","","","","","","","","6341","","","","105387","","","","","","","","6342","","","","","","","","","","",""
